,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
9159,4.0,0,0,OAK,32,0,160,00-0007091,M.Hasselbeck,SEA,QB,0,0,0,False,0,0,0,1,0,8,0,2010
9160,0.0,0,0,SEA,0,0,0,00-0026536,N.Miller,OAK,,0,0,0,True,0,0,0,0,0,8,0,2010
9161,0.0,0,0,OAK,0,0,0,00-0023742,J.Ryan,SEA,P,0,0,0,False,0,0,0,0,0,8,0,2010
9162,0.0,0,0,SEA,0,0,0,00-0025447,S.Satele,OAK,C,0,0,0,True,1,0,0,0,0,8,0,2010
9163,0.0,0,0,SEA,0,0,0,00-0023487,K.Barnes,OAK,T,1,0,6,True,0,0,0,0,0,8,0,2010
9164,13.0,0,0,SEA,0,0,0,00-0026144,D.McFadden,OAK,RB,2,0,24,True,21,0,111,0,0,8,0,2010
9165,19.0,0,0,SEA,0,0,0,00-0026983,D.Heyward-Bey,OAK,WR,5,1,105,True,1,0,30,0,0,8,0,2010
9166,0.0,0,0,SEA,0,0,0,00-0025486,J.Higgins,OAK,,0,0,0,True,0,0,0,0,0,8,0,2010
9167,0.0,0,0,SEA,0,0,0,00-0027674,J.Veldheer,OAK,T,0,0,0,True,0,0,0,0,0,8,0,2010
9168,13.0,4,1,SEA,0,0,0,00-0019646,S.Janikowski,OAK,K,0,0,0,True,0,0,0,0,0,8,3,2010
9169,2.0,0,0,OAK,0,0,0,00-0024332,L.Washington,SEA,RB,0,0,0,False,5,0,29,0,0,8,0,2010
9170,2.0,0,0,OAK,0,0,0,00-0023452,M.Williams,SEA,,1,0,27,False,0,0,0,0,0,8,0,2010
9171,0.0,0,0,OAK,0,0,0,00-0020368,B.Hamilton,SEA,,0,0,0,False,0,0,0,0,0,8,0,2010
9172,3.0,0,0,OAK,0,0,0,00-0026373,J.Forsett,SEA,RB,3,0,23,False,5,0,11,0,0,8,0,2010
9173,18.0,0,0,SEA,0,0,0,00-0026393,M.Reece,OAK,FB,3,1,90,True,2,0,32,0,0,8,0,2010
9174,16.0,0,0,SEA,0,0,0,00-0025487,M.Bush,OAK,RB,1,0,55,True,9,1,51,0,0,8,0,2010
9175,0.0,0,0,OAK,0,0,0,00-0021213,C.Baker,SEA,,1,0,5,False,0,0,0,0,0,8,0,2010
